NYDistrict,Total_Population,Total_White,Median_Household_Income,Total_Male_25_and_Over,Male_With_BA_or_Higher,Pct_White,Pct_Male_BA_or_Higher,District
"Assembly District 1 (2016), New York",132325,116933,81287,35329,13756,88.4,38.9,AD 1
"Assembly District 10 (2016), New York",130367,100218,105301,30733,17711,76.9,57.6,AD 10
"Assembly District 100 (2016), New York",135309,94823,54007,29795,6636,70.1,22.3,AD 100
"Assembly District 101 (2016), New York",134815,119886,59578,39736,10413,88.9,26.2,AD 101
"Assembly District 102 (2016), New York",132508,123040,52160,43032,8668,92.9,20.1,AD 102
"Assembly District 103 (2016), New York",132889,115483,60000,38503,14234,86.9,37,AD 103
"Assembly District 104 (2016), New York",123155,74801,55114,22350,6737,60.7,30.1,AD 104
"Assembly District 105 (2016), New York",136394,113763,86351,36833,13313,83.4,36.1,AD 105
"Assembly District 106 (2016), New York",132963,110863,65922,36855,11524,83.4,31.3,AD 106
"Assembly District 107 (2016), New York",133235,123128,67817,42110,12734,92.4,30.2,AD 107
"Assembly District 108 (2016), New York",129931,84960,43701,27668,7381,65.4,26.7,AD 108
"Assembly District 109 (2016), New York",137114,113337,70272,35568,18977,82.7,53.4,AD 109
"Assembly District 11 (2016), New York",128941,76300,77979,22287,5494,59.2,24.7,AD 11
"Assembly District 110 (2016), New York",135352,108349,69521,35909,14585,80,40.6,AD 110
"Assembly District 111 (2016), New York",128137,101205,48804,33707,6809,79,20.2,AD 111
"Assembly District 112 (2016), New York",136768,126761,78578,42905,18131,92.7,42.3,AD 112
"Assembly District 113 (2016), New York",135333,128881,66208,43362,14497,95.2,33.4,AD 113
"Assembly District 114 (2016), New York",134540,126688,54224,45336,10709,94.2,23.6,AD 114
"Assembly District 115 (2016), New York",137782,121743,50010,41501,7844,88.4,18.9,AD 115
"Assembly District 116 (2016), New York",135238,123055,47334,38814,8849,91,22.8,AD 116
"Assembly District 117 (2016), New York",134595,121016,51767,38638,6736,89.9,17.4,AD 117
"Assembly District 118 (2016), New York",131009,125971,50418,43273,8139,96.2,18.8,AD 118
"Assembly District 119 (2016), New York",133277,105229,42402,35406,8210,79,23.2,AD 119
"Assembly District 12 (2016), New York",127936,109754,103977,35151,16088,85.8,45.8,AD 12
"Assembly District 120 (2016), New York",132489,127018,53146,43295,9214,95.9,21.3,AD 120
"Assembly District 121 (2016), New York",131573,124428,52511,39847,10108,94.6,25.4,AD 121
"Assembly District 122 (2016), New York",130343,125724,51280,43352,7960,96.5,18.4,AD 122
"Assembly District 123 (2016), New York",129839,105371,43019,33602,10863,81.2,32.3,AD 123
"Assembly District 124 (2016), New York",133088,121510,52186,40440,10008,91.3,24.7,AD 124
"Assembly District 125 (2016), New York",135973,113875,52610,32432,14019,83.7,43.2,AD 125
"Assembly District 126 (2016), New York",134384,124986,56536,43266,11584,93,26.8,AD 126
"Assembly District 127 (2016), New York",135718,123922,70435,40967,15940,91.3,38.9,AD 127
"Assembly District 128 (2016), New York",127070,88314,50069,29464,11205,69.5,38,AD 128
"Assembly District 129 (2016), New York",129891,91577,39920,28689,8872,70.5,30.9,AD 129
"Assembly District 13 (2016), New York",129505,88018,112361,28125,17763,68,63.2,AD 13
"Assembly District 130 (2016), New York",131720,123560,53386,40803,8148,93.8,20,AD 130
"Assembly District 131 (2016), New York",134043,125412,56672,41575,12136,93.6,29.2,AD 131
"Assembly District 132 (2016), New York",134983,127524,50819,43767,9218,94.5,21.1,AD 132
"Assembly District 133 (2016), New York",134635,125086,60973,39993,14074,92.9,35.2,AD 133
"Assembly District 134 (2016), New York",132597,118689,58753,40618,12202,89.5,30,AD 134
"Assembly District 135 (2016), New York",134447,123738,73937,40975,22016,92,53.7,AD 135
"Assembly District 136 (2016), New York",133778,99995,51330,33804,14993,74.7,44.4,AD 136
"Assembly District 137 (2016), New York",132981,54073,30883,14581,3769,40.7,25.8,AD 137
"Assembly District 138 (2016), New York",132485,96844,49682,32056,13739,73.1,42.9,AD 138
"Assembly District 139 (2016), New York",131647,120975,53009,39687,8464,91.9,21.3,AD 139
"Assembly District 14 (2016), New York",126873,115397,118213,36715,16986,91,46.3,AD 14
"Assembly District 140 (2016), New York",129148,111661,48942,38400,10869,86.5,28.3,AD 140
"Assembly District 141 (2016), New York",127826,37346,29190,12087,4414,29.2,36.5,AD 141
"Assembly District 142 (2016), New York",130341,120683,53934,40804,11876,92.6,29.1,AD 142
"Assembly District 143 (2016), New York",130316,115460,53296,40356,9623,88.6,23.8,AD 143
